,words,count
459,whole,17
460,@6590357204,17
461,please,17
462,e,17
463,men,17
464,dating,17
465,check,17
466,little,17
467,sex,17
468,minutes,17
469,looks,17
470,party,17
471,summer,16
472,needs,16
473,courses,16
474,sg,16
475,"like,",16
476,girls,16
477,tinder,16
478,chloe,16
479,she'll,16
480,yesterday,16
481,reply,16
482,order,16
483,awake,16
484,gets,16
485,trust,16
486,literally,16
487,mine,16
488,completely,16
489,hour,16
490,aw,16
491,tgt,16
492,course,16
493,annoying,16
494,reading,16
495,morning,16
496,crying,16
497,head,16
498,sucks,16
499,coffee,16
500,house,16
501,liz,16
502,skin,16
503,thoughts,15
504,applied,15
505,ass,15
506,straight,15
507,somewhere,15
508,whats,15
509,🔫,15
510,student,15
511,excuse,15
512,idc,15
513,meant,15
514,lemme,15
515,id,15
516,run,15
517,scared,15
518,yay,15
519,hungry,15
520,nerd,15
521,taking,15
522,theyre,15
523,ofc,15
524,msg,15
525,hanging,15
526,"me,",15
527,hrs,15
528,short,15
529,talked,15
530,fact,15
531,100%,15
532,midterm,15
533,assignment,15
534,telling,15
535,tired,15
536,i’ll,15
537,video,15
538,easy,15
539,miss,15
540,almost,15
541,decided,15
542,don’t,15
543,oooh,15
544,mitch,15
545,reason,14
546,less,14
547,worth,14
548,maths,14
549,:d,14
550,aware,14
551,exactly,14
552,brb,14
553,smile,14
554,agreed,14
555,thanks,14
556,fear,14
557,half,14
558,yeet,14
559,may,14
560,ew,14
561,incredibly,14
562,smart,14
563,😎,14
564,question,14
565,c,14
566,none,14
567,sleepy,14
568,works,14
569,kill,14
570,weeks,14
571,ha,14
572,engineer,14
573,clothes,14
574,ex,14
575,productive,14
576,homework,14
577,clean,14
578,projects,14
579,boring,13
580,online,13
581,academic,13
582,til,13
583,matter,13
584,anymore,13
585,looked,13
586,nus,13
587,11,13
588,aight,13
589,bois,13
590,music,13
591,rice,13
592,stan,13
593,monch,13
594,problems,13
595,perfect,13
596,usually,13
597,pic,13
598,learn,13
599,shud,13
600,bf,13
601,ideally,13
602,regardless,13
603,let's,13
604,safe,13
605,romantic,13
606,ahh,13
607,doesn’t,13
608,hilarious,13
609,five,13
610,essay,13
611,queen,13
612,realise,13
613,cat,13
614,viet,13
615,gna,13
616,imma,13
617,huh,13
618,children,13
619,ik,12
620,bus,12
621,rather,12
622,ib,12
623,profs,12
624,lmfao,12
625,unless,12
626,uhh,12
627,kid,12
628,happens,12
629,library,12
630,laugh,12
631,urself,12
632,decent,12
633,longer,12
634,😌,12
635,q,12
636,must,12
637,breakfast,12
638,respect,12
639,egg,12
640,alone,12
641,lie,12
642,similar,12
643,data,12
644,soon,12
645,ma'am,12
646,enuf,12
647,expect,12
648,hi,12
649,especially,12
650,final,12
651,rude,12
652,number,12
653,evil,12
654,bet,12
655,me.,12
656,yas,12
657,joy,12
658,means,12
659,cake,12
660,slept,12
661,side,12
662,worse,12
663,internship,12
664,pay,12
665,news,11
666,studying,11
667,bunch,11
668,compsci,11
669,wow,11
670,20,11
671,grade,11
672,oo,11
673,ykwim,11
674,gurl,11
675,skills,11
676,uk,11
677,often,11
678,imagine,11
679,laughing,11
680,conversation,11
681,fit,11
682,alright,11
683,heck,11
684,probs,11
